doc_id,row_id,review_rating,restaurant_name,venue_type,food_nationality,food_type,ambience,price_level,location_mentions,source_restaurant_name,source_venue_type,source_food_nationality,source_food_type,source_ambience,source_price_level,source_location_mentions,conf_restaurant_name,conf_venue_type,conf_food_nationality,conf_food_type,conf_ambience,conf_price_level,conf_location_mentions,rule_food_nationality,rule_food_type,rule_ambience,rule_price_level,rule_location_mentions,llm_food_nationality,llm_food_type,llm_ambience,llm_price_level,llm_location_mentions,review_text_clean,evidence_food_nationality,evidence_food_type,evidence_ambience,evidence_price_level,evidence_location_mentions,latency_sec
rev_000021,21,4,ชีสเค้กต้นตำรับจากนิวยอร์ก,ร้านอาหาร,,เบเกอรี่ | ขนมและเครื่องดื่ม,ร้านเปิด | คาเฟ่,ราคาย่อมเยา,CDC,llm,rule,default,rule+llm,rule+llm,rule,llm,0.0,0.9,0.0,0.7,0.8500000000000001,0.9,0.6,,เบเกอรี่ | ขนมและเครื่องดื่ม,ร้านเปิด | คาเฟ่,ราคาย่อมเยา,,,เบเกอรี่,คาเฟ่ | ร้านเปิด,ราคาย่อมเยา,CDC,ร้านชีสเค้กต้นตำรับจากนิวยอร์ก ร้านอยู่ที่CDC จะอยู่ตรงโซนข้างนอกที่เป็นร้านอาหารหมดเลย ร้านจะอยู่ตรงกลางๆหน่อย เป็นร้านเล็กๆไม่ใหญ่มาก มีที่นั่งทั้งข้างในและข้างนอกประมาณ3-4โต๊ะ ภายในร้านน่ารักมากเลยค่ะ มีตกแต่งประดับของเล็กๆน้อยๆข้างในเพียบเลย ระหว่างที่สั่งหรือนั่งทานก็ดูอะไรไปเรื่อย เค้กที่นี่ก็คือชีสเค้กค่ะ ชิ้นค่อนข้างใหญ่ แบบว่าถึงใจมาก เค้าก็จะมีให้เลือกว่าจะทานเค้กคู่กับอะไร มีทั้งแยมสตอเบอร์รี่ บลูเบอรี่ฯลฯ ชีสเค้กเนียนนุ่ม ฉ่ำชีสมากๆ บางคนก็ทานเปล่าๆก็จะรสชาติชีสแท้ ออกเค็มๆนิดนึง แต่เราต้องทานราดกับแยม ไม่งั้นรู้สึกว่ามันเลี่ยนไป ถ้าคนไม่ชอบกินชีส กินคนเดียวไม่หมดแน่ๆค่ะ ขนาดเราชอบของหวานมากๆยังกินไม่หมดเลย ชิ้นมันใหญ่อะ แถมรู้สึกว่าแอบเลี่ยนนิดนึงด้วย แต่ถ้าคนชอบนี่ถูกใจแน่ๆค่ะ ราคากำลังดีค่ะ ประมาณ130-140บาทนี่แหละ ซื้อกลับบ้านเค้าใส่กล่องน่ารักๆไว้หิ้วกลับบ้านให้ด้วย,,"เบเกอรี่: เค้ก | ขนมและเครื่องดื่ม: ชา, ของหวาน | เบเกอรี่ | ขนมและเครื่องดื่ม",ร้านเปิด: ข้างนอก | คาเฟ่: ร้านน่ารัก | ร้านเปิด | คาเฟ่,ราคาย่อมเยา: ถูก | 140 บาท | ราคาย่อมเยา,CDC,7.254
rev_000027,27,4,,คาเฟ่,,ขนมและเครื่องดื่ม,,ราคาย่อมเยา,,default,llm,default,rule+llm,default,rule,default,0.0,0.6,0.0,0.6,0.0,0.9,0.0,,ขนมและเครื่องดื่ม,,ราคาย่อมเยา,,,ขนมและเครื่องดื่ม,,,,"กินจนติดมาก เป็นร้านที่กินแล้ว ""สนุกลิ้น"" มากจริงๆ เครื่องดื่มทุกอย่างมี texture ที่ประหลาด กินแล้ว ""สบายฟัน"" ด้วย ร้านที่ empire นี่ก็มาตรฐานไม่ตก พนักงานก็ยิ้มแย้มดี ครั้งนี้แหวกแนวให้สี่ดาวเพราะเชื่อคำชวนพนักงานไปลองเครื่องดื่มที่มีเม็ดสาคูสีชมพู 45 บาท เป็นแบบตาม season christmas แล้วรู้สีกสู้เครื่องดิื่มธรรมดาไม่ได้ ชอบที่สุดตอนนี้ 1) ชามะลินมพุดดิ้งนม 2) ชาลิ้นจี่เยลลี่อโลว 3) ชานมไข่มุก",,"ขนมและเครื่องดื่ม: ชา, เครื่องดื่ม, ชานม, ชานมไข่มุก | ขนมและเครื่องดื่ม",,45 บาท | ราคาย่uetype,,6.966
rev_000053,53,4,,ร้านอาหาร,,ขนมและเครื่องดื่ม,ร้านข้างทาง,ราคาแพง,ปากอ่าว,default,llm,default,llm,rule+llm,rule,llm,0.0,0.6,0.0,0.6,0.7000000000000001,0.9,0.6,,,ร้านข้างทาง,ราคาแพง,,,ขนมและเครื่องดื่ม,ร้านข้างทาง,ราคาแพง,ปากอ่าว,ลำบากนิดนึง เพราะต้องนั่งเรือออกไปที่ร้าน แต่ก็เป็นจุดขาย ที่บรรยากาศสองข้างทาง ตลอด 20 นาทีบนเรือธรรมชาติมากมาก บางคนอาจมีหวาดเสียว ยิ่งพอถึงร้านที่เป็นปากอ่าว ดูเวิ้งว้างมาก ส่วนอาหารรสชาติดี วัตถุดิบคุณภาพ ราคาแอบแพงนิดนึง แนะนำให้ไปช่วงบ่ายๆ จะได้เห็นวิวสองข้างทาง ทั้งขาไปกลับ ถ้าไปเย็น กลับตอนมืดแล้ว เวลานั่งเรือจะน่ากลัว,,,ร้านข้างทาง: ข้างทาง | ร้านข้างทาง | บรรยากาศสงบ | ริมน้ำ,ราคาแพง: แพง | ราคาแพง,ปากอ่าว,3.347
rev_000060,60,3,,ร้านอาหาร,อาหารไทย,อาหารทะเล,,ราคาย่อมเยา,,default,llm,rule+llm,rule+llm,default,rule,default,0.0,0.6,0.7000000000000001,0.6,0.0,0.9,0.0,อาหารไทย,อาหารทะเล,,ราคาย่อมเยา,,อาหารไทย,อาหารทะเล,,ราคาย่อมเยา,,"""ปีกไก่ทอด"" กับ ""ปลากระพงนึ่งแจ่ว"" ร้านนี้รสชาติอร่อยเลย แต่ยำสะเดากุ้งสดนี่รสชาติค่อนข้างขมไปนะจากที่เพื่อนที่เคยกินอยู่แล้วบอก (ผมไม่เคยกินยำสะเดามาก่อนเลยไม่รู้ว่ามันต้องรสชาติยังไง ... เลยบอกไม่ถูก ฮ่าๆ) - ส้มตำปูม้า ให้ปูมาแบบเห็นจะๆ เป็นตัวๆ ... ถึงจะไม่ตัวใหญ่สะใจ แต่รสชาติใช้ได้ดี - คอหมูย่าง เป็นแบบมันๆ ปกติผมชอบกินมันๆ อยู่แล้วนะ ลองของร้านนี้แล้ว ผมว่ารสชาติเฉยๆ - ขนมจีนผัด อันนี้ไม่ค่อยเวิร์ค รสชาติจืดไป โดยเฉพาะเมื่อเทียบกับร้านส้มตำร้านอื่นที่ดังขนมจีนผัดอย่างส้มตำนัว - เฉาก๊วย ก้อนเฉาก๊วยเหนียวดีครับ อร่อยเลย สั่งได้เลย ไม่น่าจะผิดหวัง อาหารโดยรวมแล้วร้านเค้าปรุงมาค่อนข้างเผ็ดนะครับ เตือนไว้ก่อนเลย","อาหารไทย: ส้มตำ, ยำ, ขนมจีน | อาหารไทย","อาหารทะเล: กุ้ง, ปู, ปลา, ปูม้า | อาหารทะเล | ข้าวแกง | ตามสั่ง | เบเกอรี่",,ราคาย่อมเยา: ถูก | ราคาย่unya,,5.029
rev_000061,61,4,aFter You,คาเฟ่,,เบเกอรี่ | ขนมและเครื่องดื่ม,คาเฟ่,,อารีย์วิลล่า | รถไฟฟ้าอารีย์,rule,rule,default,rule+llm,rule+llm,default,llm,0.95,0.9,0.0,0.7,0.7000000000000001,0.0,0.6,,เบเกอรี่ | ขนมและเครื่องดื่ม,คาเฟ่,,,,เบเกอรี่,คาเฟ่,,อารีย์วิลล่า | รถไฟฟ้าอารีย์,พาทานเค้ก ของหวานสุดโดนใจที่ร้าน aFter You ที่อารีย์วิลล่า ติดรถไฟฟ้าอารีย์ กลับมาอีกครั้งแล้วค่า ร้านของหวานโดนใจของออฟอีกร้านหนึ่ง ที่จะไม่ผิดหวังกับรสชาติแน่นอนอย่าง “ร้าน aFter You Dessert Cafe (อาฟเตอร์-ยู)” ครั้งก่อนมาทานตอนครบรอบ 2 ปีกับไผ่ แต่ครั้งนี้มาทานเนื่องในโอกาสเลี้ยงส่งพี่อุ้ยค่า โฮๆๆๆ พี่ในทีมออฟเอง ที่เลือกร้านนี้เป็นเพราะร้านนี้ก็เป็นร้านโปรดของพี่เค้าเหมือนกันค่า รวมถึงเป็นโอกาสเลี้ยงวันเกิดพี่โต้ง และพี่เก่งด้วยค่ะ อ่านรายละเอียดได้ที่ http://don-jai.com/after-you/,,"เบเกอรี่: เค้ก | ขนมและเครื่องดื่ม: ชา, ของหวาน | เบเกอรี่ | ขนมและเครื่องดื่ม",คาเฟ่: cafe | คาเฟ่,,อารีย์วิลล่า | รถไฟฟ้าอารีย์,204.741
rev_000065,65,3,,ร้านอาหาร,อาหารไทย,อาหารทะเล,บรรยากาศสงบ | ริมน้ำ,ราคาแพง,Big C ราษฎร์บูรณะ | สี่แยกบุคคโล,default,rule,rule+llm,rule+llm,rule+llm,rule,llm,0.0,0.9,0.7000000000000001,0.6,0.8500000000000001,0.9,0.6,อาหารไทย,อาหารทะเล,บรรยากาศสงบ | ริมน้ำ,ราคาแพง,,อาหารไทย,อาหารทะเล,บรรยากาศสงบ | ริมน้ำ,ราคาแพง,Big C ราษฎร์บูรณะ | สี่แยกบุคคโล,ร้านอยู่หลัง Big C ราษฎร์บูรณะ ติดริมแม่น้ำ เปิดมา 8 ปีแล้ว (ตามที่พนักงานบอก) ... ครัวเปิด 6 โมงเย็น แต่ก่อนร้านเปิด ก็มีคนเข้าไปในร้านก่อนแล้ว ส่วนใหญ่เท่าที่เห็นก็จะไปนั่งชิลจิบเบียร์กันก่อน - หมูตุ๋นผัดฉ่า ควรจะคลุกให้ดีๆ ก่อน ไม่งั้นรสชาติจะเหมือนเรากินหมูตุ๋นอย่างเดียว ... พูดถึงเนื้อหมูตุ๋น ผมว่าอร่อยเลยครับ นิ่มมาก - ปลากระพงทอดน้ำปลา ผมว่าไม่ค่อยเวิร์ค ทั้งๆ ที่พนักงานที่ร้านแนะนำ ปลาตัวเล็กและทางร้านไม่มีน้ำราดแบบหวานๆ เหมือนร้านอื่น มีแต่น้ำจิ้มซีฟู้ด ซึ่งผมว่ามันไม่เข้ากัน - หมูมะนาว ไม่ได้เป็นแบบหมูนิ่มๆ แต่รสชาติก็ใช้ได้ ถึงแม้บางชิ้นจะสุกไม่ทั่ว -*- - ผัดผักบุ้งทอดกรอบ เมนูนี้ใช้ได้เลยทีเดียว ถึงหน้าตาจะธรรมดาๆ เมื่อเทียบกับร้านอื่นๆ - เห็ดเข็มทองผัดกุ้ง เมนูนี้ฟังดูธรรมดามากๆ ครับ แต่ไม่ค่อยเห็นมันอยู่ในเมนูของร้านที่ขายอาหารไทย รสชาติอร่อยครับ สั่งโลด - ทอดมันกุ้ง ไม่มีน้ำจิ้มบ๊วยให้ มีแต่น้ำจิ้มไก่ซะงั้น - ผัดผักรวมมิตร เห็นพ่อผมชอบแฮะ สั่งซ้ำด้วย :) - คอหมูย่าง เป็นแบบมันๆ ... รสชาติเฉยๆ สู้ร้านส้มตำไม่ได้ กินกัน 6 คน เสียไป 1720 บาท (สั่งอาหารไปเยอะเหมือนกัน มีสั่งกลับบ้านด้วย) โดยรวมแล้วรสชาติธรรมดา ราคาออกจะแพงไปหน่อย เพราะแต่ละเมนูจะมาเป็นที่เล็กๆ ... เข้าใจว่าร้านนี้น่าจะเน้นขายเหล้าเบียร์มากกว่ามั้ง ราคาอาหารเลยไม่ถูก ปล. เห็นมีร้านชื่อเดียวกันอยู่ใกล้ๆ กับสี่แยกบุคคโล ... คิดว่าน่าจะเป็นร้านเดียวกัน,"อาหารไทย: อาหารไทย, ส้มตำ | อาหารไทย","อาหารทะเล: ซีฟู้ด, กุ้ง, ปลา | อาหารทะเล | ข้าวแกง | ก๋วยเตี๋ยว | ตามสั่ง | เบเกอรี่","บรรยากาศสงบ: ชิล, นั่งชิล | ริมน้ำ: ริมแม่น้ำ | บรรยากาศสงบ | ริมน้ำ",ราคาแพง: แพง | ราคาย่อมเยา: ถูก | 1720 บาท | ราคาแพง,Big C ราษฎร | สี่แยกบุคคโล,5.946
rev_000081,81,3,Rico,ร้านอาหาร,,ก๋วยเตี๋ยว,หรูหรา | ติดแอร์,ราคาแพง,สัมมากร | ซอย A9-A10,rule,rule,default,rule+llm,rule+llm,rule,llm,0.95,0.9,0.0,0.6,0.8500000000000001,0.9,0.6,,ก๋วยเตี๋ยว,หรูหรา | ติดแอร์,ราคาแพง,,,ก๋วยเตี๋ยว,ติดแอร์,ราคาแพง,สัมมากร | ซอย A9-A10,รีวิวร้าน Rico เอาใจหลายๆคนที่อยู่หมู่บ้านสัมมากรค่ะ ฮ่าๆ ร้านนี้เป็นร้านเล็กๆ ดูเหมือนว่าจะเป็นกิจการในครอบครัวค่ะ ร้านจะอยู่ในตัวหมู่บ้านเลย อยู่ไปทางซอย A9-A10 อยู่ด้านหน้าซอยเลยค่ะ ไม่ต้องเลี้ยวเข้าไปหา (มาแทนร้านอรุณสวัสดิ์) ร้านขนาดเล็ก ไม่ได้แต่งร้านสวยหรูนักแต่บรรยากาศก็น่านั่งใช้ได้ค่ะ มีแอร์ด้านใน จุดเด่นของร้านนี้คือ เขามีขนาด size ของจานให้เลือกได้ค่ะ ว่าเราจะทานพออิ่ม อิ่มมาก หรืออิ่มสุดๆ (อันนี้จำคำที่เขาใช้จริงๆไม่ได้นะคะ มั่วๆไป) ส่วนเมนูที่แนะนำให้ไปลองทานกันก็จะเป็นพวกอาหารฝรั่งค่ะ เขาทำได้อร่อยทีเดียว แต่ที่ประทับใจเองคือ ผักโขมอบชีสค่ะ ไปกี่ครั้งก็ต้องสั่ง อร่อยจริง! เมนูที่ถูกใจอีกอย่างคือราดหน้าหมูเส้นใหญ่ค่ะ โดยส่วนของเส้นเขาจะนำไปทอดก่อน แต่ไม่ถึงกับมากมายจนเส้นแข็งนะคะ เส้นก็จะกรอบตรงผิวนอกและนุ่มในค่ะ ราดหน้าร้านนี้ไม่ใช่อารมณ์แบบ original หอมกลิ่นกระทะผัดอะไรอย่างนั้นนะคะ ถ้าจะให้เรียกน่าจะเป็นราดหน้าแฟนซีมากกว่าค่ะ มีใส่แครอท ผักคะน้า เสิร์ฟมาในถ้วยใหญ่ๆ ที่น่าเสียดายคือ น้ำเยอะไปหน่อย เหมือนทานก๋วยเตี๋ยว เวลาสั่งส่วนตัวต้องบอกว่า ขอน้ำน้อยหน่อย จะ perfect เลยค่ะ สรุปแล้ว รสชาติโอเค-ดีค่ะ เลยให้ไป 3 ดาว บริการอาจจะช้าหน่อยเพราะมีคุณแม่เป็นแม่ครัวนั่งผัดอยู่คนเดียว แต่โดยรวมก็โอเคเลยค่ะ ส่วนราคาก็ แพงอยู่นะคะ ถ้าดูจากลักษณะร้าน จานละ 70-100up ป.ล. มีบริการส่งอาหาร ระหว่าง 11:00-21:30 ค่ะ สั่งอาหาร เกิน 300บาท จะบริการส่ง ฟรี ในสัมมากร โทร 02-729-4195,อาหารฝรั่ง,"ก๋วยเตี๋ยว: ก๋วยเตี๋ยว, ราดหน้า | ก๋วยเตี๋ยว | ราดหน้าหมูเส้นใหญ่ | ผักโขมอบชีส | ตามสั่ง",หรูหรา: หรู | ติดแอร์: แอร์ | ร้านนี้จะอยู่ในตัวหมู่บ้านเลย | มีแอร์ด้านใน,ราคาแพง: แพง | ราคาย่อมเยา: ถูก | 300 บาท | ราคาก็แพงอยู่นะคะ | จานละ 70-100up,อยู่ไปทางซอย A9-A10 | อยู่ด้านหน้าซอยเลยค่ะ | มาแทนร้านอรุณสวัสดิ์ | สัมมากร,6.278
rev_000088,88,4,,ร้านอาหาร,,,,ราคาแพง,นิฮอนมาชิ | ควิลเลจ | ทองหล่อ สิบสาม | สุขุมวิท,default,rule,default,default,default,rule,llm,0.0,0.9,0.0,0.0,0.0,0.9,0.6,,,,ราคาแพง,,,,,ราคาแพง,นิฮอนมาชิ | ควิลเลจ | ทองหล่อ สิบสาม | สุขุมวิท,ร้านอาหารปิ้งย่างชื่อดังจากประเทศญี่ปุ่นที่มาเปิดสาขาในไทย โดยสาขาแรกอยู่ที่ นิฮอนมาชิ ติดกับ เควิลเลจ ร้านเปิดมาได้สักพักใหญ่แล้ว ซึ่งช่วงเปิดใหม่แรกๆ คนไทยมาทานกันเยอะมากเนื่องจากอยากลองร้านใหม่ แต่สำหรับตอนนี้ลูกค้าส่วนใหญ่จะเป็นชาวญี่ปุ่นที่มาทานหลังจากเลิกงาน อาหารส่วนใหญ่เป็นจานเล็กๆสามารถสั่งมาแกล้มสาเกหรือเบียร์แล้วแต่สะดวก แต่ส่วนตัวผมขอเบียร์สดครับ เพราะอาหารประเภทนี้ส่วนใหญ่จะไม่ได้ทานเพื่ออิ่ม มาทานกันเป็นกับแกล้มกันมากกว่า รสชาติโดยรวมโอเคครับ สำหรับบรรยากาศในร้านนั้นอย่าให้เซดครับ เดซิเบลเกินกว่าหูมนุษย์ปุถุชนทั่วไปจะทนได้ เนื่องจากพนักงานทุกคนจะแข่งกันตะโกนครับ คนเข้าก็โวย คนออกก็โวย อาหารเสร็จก็โวย เข้าห้องน้ำก็โวย สรุปโวยหมดครับไม่ว่าคุณจะขยับไปไหน เหมาะแก่การชวนเพื่อนๆมาสัก สี่ห้า คนมาแข่งกันตะโกนครับ ส่วนสุภาพบุรุษท่านใดต้องการพาหวานใจไปด้วย ผมแนะนำว่าควรไปตอนอึมครึมกันครับ ต่อให้พวกคุณจะตะโกนด่ากันแค่ไหน ผมคาดว่าก็คงไม่เกินไปกว่าพนักงานในร้านแน่นอน นอกเสียจากว่าคุณเธอเอาไม้เสียบยากิโทริมาเสียบปากเราครับ ปล.ขณะนี้มีสาขาเปิดใหม่แล้ว ไม่ต้องไปยืนออกันหน้าร้านสาขาแรกอีกต่อไป อยู่ ทองหล่อ สิบสามครับ โครงการ นิฮอนมูระ ปลสอง. พนง.ผู้ชายผมยาวๆ ที่คอยต้อนรับสาขาสุขุมวิทไม่อยู่แล้วเนื่องจากมารยาทเยี่ยมเกินไปจนลูกค้าหลายท่านโวย สรุป อาหารอร่อยแกล้มสาเกหรือเบียร์เหมาะมากๆ,อาหารญี่ปุ่น,ตามสั่ง,หรูหรา | ติดแอร์ | บรรยากาศสงบ,ราคาแพง: เกินไป | ราคาแพง,นิฮอนมาชิ | ควิลเลจ | ทองหล่อ สิบสาม | สุขุมวิท,5.572
rev_000101,101,1,,คาเฟ่,,เบเกอรี่,ติดแอร์ | ร้านเปิด | คาเฟ่,ราคาย่อมเยา,ห้าง,default,rule,default,rule+llm,rule+llm,llm,llm,0.0,0.9,0.0,0.6,1.0,0.6,0.6,,เบเกอรี่,ติดแอร์ | ร้านเปิด | คาเฟ่,,,,เบเกอรี่,ร้านเปิด | คาเฟ่,ราคาย่อมเยา,ห้าง,ไม่รู้จะใจร้ายไปรึเปล่า แต่ไม่อร่อยอ่ะค่ะ 1.Chocolate ที่ให้มาสำหรับจิ้ม เย็นได้โล่ ไม่มีไฟอังมาให้ด้วยค่ะ ใส่ถ้วยมาเฉยๆ 2.โฆษณาว่าเป็น chocolate มาจาก Swiss แต่หวานมากกกกกกก ประมาณว่าเอาอะไรไปจิ้มไม่ได้เลย 3.เครื่องที่ใช้จิ้ม เห่ยมาก Waffle แข็งกรอบ ส่วนบราวนี่ก็หวานสุดๆ บวกกับ chocolate ที่หวานอยู่แล้วแทบตายเลยทีเดียว ไปลองกันได้ค่ะ ลักษณะร้านเป็นร้านคาเฟ่เล็กๆริมทางในห้าง มีเก้าอี้นั่งได้ประมาณ 6 ที่ค่ะ ราคาขายไม่แพงมากสำหรับฟองดู แต่ก็ไม่ได้ถูกค่ะ,,"เบเกอรี่: บราวนี่, waffle | เบเกอรี่","ติดแอร์: ในห้าง, ห้าง | ร้านเปิด: ริมทาง | คาเฟ่: คาเฟ่ | ร้านเปิด | คาเฟ่ | ร้านข้างทาง","ราคาแพง: แพง | ราคาย่อมเยา: ไม่แพง, ถูก | ราคาย่อมเยา",ห้าง,6.682
rev_000103,103,3,Coco,คาเฟ่,,ไอศกรีม | สุขภาพ,,ราคาย่อมเยา,,rule,llm,default,rule+llm,default,rule,default,0.95,0.6,0.0,0.7,0.0,0.9,0.0,,ไอศกรีม | สุขภาพ,,ราคาย่อมเยา,,,ไอศกรีม | สุขภาพ,,ราคาย่อมเยา,,"ร้านเจลาโตนี (Gelatoni) เป็นร้านไอศกรีมที่ถูกเลือก ระหว่างที่ต้องรอดูหนังเรื่อง Harry Potter and the Deathly Hallows Part II แฮร์รี่ พอตเตอร์กับเครื่องรางยมทูต (ภาค 2) ที่เอสพลานาดค่ะ เพราะว่าซื้อบัตรไว้รอบ 20:30 ดังนั้นหลังจากที่ทานข้าวเย็นที่ร้าน Coco แล้วไปเดินเล่นก็แล้ว ก็ยังไม่ถึงเวลาดูหนังซักที ก็เลยตัดสินใจมาทานไอศกรีมที่ร้านนี้กันค่ะ เพราะว่าเป็นร้านไอศกรีมที่ยังไม่เคยลิ้มลองรสชาติมาก่อนเลย ทำความรู้จักร้าน เจลาโตนี (Gelatoni) กันก่อน บริษัท แบล็คแคนยอน (ประเทศไทย) จำกัด เปิดตัว เจลาโตนี (Gelatoni) ร้านไอศกรีมอิตาเลียนแท้ภายใต้ คอนเซ็ปท์ The Healthy Italian Ice Creamเอาใจคนรักไอศกรีมแต่ห่วงสุขภาพอย่างเป็นทางการ ชื่อเจลาโตนี(Gelatoni) อันเป็นชื่อของร้านมีที่มาจากภาษาอิตาเลียนซึ่งแปลว่า ไอศกรีมลูกใหญ่ส่วนคำว่า เจลาโต (Gelato) เป็นชื่อเรียกของไอศกรีมในภาษาอิตาเลียน ร้าน เจลาโตนี (Gelatoni) เปิดให้บริการไอศกรีมโฮมเมดสไตล์อิตาเลียนแท้ทั้งแบบครีมและซอร์เบท์ผลไม้ โดยมีรสชาติให้เลือกกว่า 90 รสชาติ อาทิ Dark Chocolate, Chocolate Rocher, Apple/Kiwi Sugar Free, Yoghurt Blueberry, Mango, Rambutan, Lychee, Toffee & Cake, Apple & Sparkling Wine, Black Sesame, Durian, Lemongrass เป็นต้น ที่มา http://www.centralplaza.co.th/ShoppingGuide-gelatoni-1-5.aspx ไอศกรีมสไตล์ Gelato จะแตกต่างจากไอศกรีมอื่นๆ ทั่วไปอย่างไร ??? ไอศกรีมสไตล์ Gelato จะแตกต่างจากไอศกรีมอื่นๆ ทั่วไป ตรงที่ Gelato จะมีเนื้อไอศกรีมที่เนียนนุ่มกว่า เนื่องจากเนื้อไอศกรีม มีอากาศแทรกอยู่เพียงแค่ 5-15% เมื่อรับประทานเข้าไปจึงสามารถสัมผัสได้ถึงเนื้อไอศกรีมอย่างเต็มที่ นอกจากนี้ ไอศกรีมสไตล์ Gelato ยังมีคุณค่าทางโภชนาการสูง เพราะประกอบไปด้วย โปรตีน วิตามิน (จากผลไม้) คาร์โบไฮเดรต และไขมัน และเนื่องจากไอศกรีม Gelato ผลิตจากวัตถุดิบนม ซึ่งมีไขมันต่ำเพียง 4-6% ในขณะที่ไอศกรีมทั่วไปที่มีไขมันถึง 10-20% ดังนั้นไอศกรีม Gelato ทุกรสชาติของ Gelatoni จึงเป็นไอศกรีมไขมันต่ำที่ดีต่อสุขภาพ อ่านรีวิวเต็มๆ ได้ที่ http://don-jai.com/gelatoni/",อาหารอิตาลี,"ไอศกรีม: ไอศกรีม, gelato, ice cream | สุขภาพ: สุขภาพ | ไอศกรีม | สุขภาพ",,ราคาย่อมเยา: ถูก,,5.222
